Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
Age,3,3,3,3,3,6,6,6,12,12,12,18,18,18,18,18
main_Cerebellum_ANcr1gr,,,,,48.96445063,,,54.94901705,54.54512983,,51.16724667,50.54168421,,,,
main_Cerebellum_ANcr1mo,,,,,51.87091023,,,48.84036269,53.17118548,,52.47310736,56.56879592,,,,
main_Cerebellum_CENT2gr,50.20759817,,,,,50.54970175,50.51179268,,,51.40047115,,,50.05578908,51.08173312,50.5687611,
main_Cerebellum_CENT2mo,50.66287244,,,,,48.88474419,54.12508197,,,51.66468009,,,49.08326218,47.84500234,48.46413226,
main_Cerebellum_CENT3gr,52.27716901,53.13749432,51.12222038,52.12985735,50.90056452,52.97308642,53.12699067,53.01417272,54.20133036,52.43824605,50.27991392,53.56276377,50.96661111,53.47297213,52.21979162,45.41517808
main_Cerebellum_CENT3mo,49.30193651,50.52561316,49.11753947,49.82157632,55.5040236,47.94313965,51.79186896,49.0152037,44.16891813,49.1365896,46.39645528,47.28168153,49.92424903,46.72648101,48.32536502,45.98634184
"main_Cerebellum_CUL4,5gr",54.95339474,55.51558904,54.81869492,55.16714198,51.54019355,55.67550181,52.7104142,56.10358578,57.17733453,51.73517537,51.9937993,53.9253041,49.71633043,53.01895413,51.36764228,51.53881522
"main_Cerebellum_CUL4,5mo",47.19444072,50.45185417,50.71769841,50.58477629,54.35180826,47.3067641,50.39790044,50.4828543,45.84003896,51.08844264,54.06515635,47.33227475,52.48846561,48.46350271,50.47598416,50.00628214
main_Cerebellum_DECgr,54.59837174,53.65063265,51.94544372,52.79803819,51.69897479,54.31367125,52.51901337,,,49.56754346,,,50.26595607,51.4435614,50.85475874,
main_Cerebellum_DECmo,47.1100117,53.17788608,49.80568,51.49178304,54.95692857,49.49188,51.42756213,,,56.6739032,,,55.89394792,52.64571127,54.26982959,
main_Cerebellum_FN,42.14432381,38.55552778,42.64403333,40.59978056,43.199625,39.37895364,42.06234965,43.37175,,42.86265789,,,40.56061905,44.19078947,42.37570426,34.75540909
main_Cerebellum_FOTUgr,51.35112121,51.23134947,50.42025083,50.82580015,51.62483929,50.95853333,47.95982316,,,51.16777741,,,51.31285714,52.72177031,52.01731373,
main_Cerebellum_FOTUmo,49.32521725,53.64171981,51.12505769,52.38338875,54.89241379,49.90854605,53.64560169,,,51.87211765,,,60.41135079,58.73718987,59.57427033,
main_Cerebellum_IP,42.27827083,44.88034043,47.79820209,46.33927126,49.77523538,43.0801,42.0643125,47.98674753,37.798,45.63766871,41.20611818,37.10781801,37.62036905,46.25952381,41.93994643,35.22696
main_Cerebellum_NODgr,46.12851333,46.26762591,45.22652679,45.74707635,45.5283,46.07917333,46.07676471,46.69680215,,44.80307921,,,43.95186239,46.77801075,45.36493657,
main_Cerebellum_NODmo,48.10510906,50.1875814,49.86203571,50.02480855,55.36334375,47.0302844,51.53367059,50.86684001,,45.62366667,,,51.9573271,52.90456198,52.43094454,
main_Cerebellum_PYRgr,50.03982609,50.5082027,51.0257971,50.7669999,49.99728467,49.94275253,47.827475,53.39209804,,49.42055385,,,49.79117143,52.1672552,50.97921331,
main_Cerebellum_PYRmo,47.79944295,52.98880402,51.59992506,52.29436454,57.86467677,51.46002882,53.25262936,51.07840909,,50.40790389,,,57.81440534,58.80571212,58.31005873,
main_Cerebellum_UVUgr,49.22971675,,,,50.47675,48.44856296,44.78301176,48.34375245,,48.05688315,,,48.57297416,50.13315936,49.35306676,
main_Cerebellum_UVUMo,49.38633103,,,,57.75038667,50.09527801,52.40690164,51.28029771,,53.46851868,,,54.69675516,56.73259303,55.7146741,
main_CorticalSubplate_CLA,45.37640758,45.72210844,44.61041935,45.1662639,48.64874687,44.67756444,44.7677126,48.43486411,47.56764955,45.50302995,48.67735631,54.76603947,43.41827876,47.82089458,45.61958667,40.75198171
main_CorticalSubplate_EPd,42.68012951,44.65547059,41.85636634,43.25591846,48.00545946,47.14415278,43.92657615,47.12154141,43.67652915,44.14625874,45.56633946,48.61845849,40.38099855,44.70393449,42.54246652,39.3137549
main_FibreTracts_aco,49.26084253,52.45865806,47.05866667,49.75866237,55.275,31.746,44.807,52.38357143,52.3375,54.5055,,52.57743215,42.37792105,50.28562032,46.33177069,44.3844375
main_FibreTracts_act,46.0437,57.17398462,45.66618182,51.42008322,56.557,32.94929656,36.37468145,51.332,49.06684848,41.37237391,42.38630882,50.8717,45.51706639,53.51918182,49.51812411,45.1479
main_FibreTracts_alv,49.31118373,54.208,49.43895714,51.82347857,59.34742857,47.371,51.1865,56.1225,48.37383333,,56.00553571,51.57041923,46.46825,46.33912195,46.40368598,46.19703704
main_FibreTracts_arb,45.50325,50.0893,45.58453828,47.83691914,,45.0115,0,51.58901563,58.77766667,52.7535602,51.89075,49.40275,39.037,53.7955,46.41625,53.00366667
main_FibreTracts_bsc,50.56544167,57.27045833,52.12366667,54.6970625,59.05057143,55.13005556,48.61875,62.51825,53.45686667,41.49735714,53.60740625,54.78503448,45.5996875,49.45933333,47.52951042,46.828125
main_FibreTracts_cc,53.45983333,55.63117647,50.8899729,53.26057469,60.39401818,46.2044,53.0764,58.8360809,52.92879301,51.04616,57.92484444,56.72063492,43.13058824,52.9046,48.01759412,48.651
main_FibreTracts_cpd,0,37.41416667,0,18.70708333,0,0,36.014875,0,39.89124286,36.738,40.4,45.85525,45.11802009,49.94735,47.53268504,30.069
main_FibreTracts_fi,49.95732488,53.8965,46.8920974,50.3942987,48.76383585,0,0,48.52527885,54.23330723,43.56458442,37.11716667,51.01009756,0,49.92368873,24.96184436,25.505
main_FibreTracts_int,,51.39269231,42.50989015,46.95129123,51.00463636,35.35026905,41.04817808,50.71466667,45.87355844,45.78548214,47.36353289,52.26984864,40.63105519,49.65631466,45.14368492,44.86077597
main_FibreTracts_lot,,51.36335088,49.22358514,50.29346801,56.95469231,47.95748276,47.20139775,55.35610204,51.8786375,43.15489028,59.74184286,57.83066026,50.45177778,56.36414286,53.40796032,45.13245455
main_FibreTracts_mcp,31.0316131,0,0,0,0,,0,38.5198925,45.0436,45.13542411,0,44.6058,0,46.22025,23.110125,0
main_FibreTracts_ml,49.25463465,55.42186835,54.26366667,54.84276751,62.96688889,47.32891667,51.92377381,54.36966667,54.82904167,50.69593333,45.04527692,51.47329412,49.09541,61.08234286,55.08887643,48.0015404
main_FibreTracts_opt,,0,0,0,0,0,0,0,30.112975,42.20384914,0,0,0,47.984,23.992,52.18704167
main_FibreTracts_scp,,51.76478571,53.24954444,52.50716508,56.32175,46.95033333,48.34610088,53.93805254,44.07363742,,49.77281818,45.90624405,46.47704902,54.84410216,50.66057559,46.9585
main_FibreTracts_sctv,,59.6765,53.21612308,56.44631154,57.85344828,41.15266071,50.18502273,58.258125,46.7253602,55.4914,55.47258333,46.302,46.835,56.00707143,51.42103571,41.98028889
main_FibreTracts_sptV,,,,,48.454,,0,48.73466667,54.40030208,47.73540833,46.14369231,50.96040714,55.0495,46.16828205,50.60889103,50.84
main_FibreTracts_st,,50.95921429,51.336,51.14760714,62.063,47.62665217,47.50576119,50.67473879,54.3766,,53.47641667,50.09375,42.81067133,50.79255556,46.80161344,45.99709091
main_FibreTracts_tb,0,58.92254545,,58.92254545,59.83986667,,55.69328571,48.9054,55.62135,50.4476,59.0738,45.4935,52.05042857,60.16266667,56.10654762,49.16366667
main_FibreTracts_vlln,0,37.79438889,0,18.89719444,41.69395833,0,0,33.8040125,35.07053846,44.06921875,47.24926667,46.06194118,21.48533333,0,10.74266667,39.0742
main_Hippocampus_CA1slm,55.6404316,55.26119346,60.18943974,57.7253166,55.66628153,58.6192537,56.69573267,57.39246934,54.20917301,55.44812567,53.94181984,55.75405345,56.32652401,53.95822713,55.14237557,52.65411316
main_Hippocampus_CA1so,55.16103491,55.15653647,54.79205895,54.97429771,56.51524109,57.47569373,55.4545052,56.18795643,56.05978577,54.02499536,56.12978275,58.387643,56.44216147,53.68996789,55.06606468,51.92519035
main_Hippocampus_CA1sp,44.06473137,45.15436419,44.62633623,44.89035021,47.25626645,44.81001754,45.86573333,42.97067123,39.69152846,45.34890828,42.06073381,37.88505556,39.45210615,42.79104703,41.12157659,35.71929972
main_Hippocampus_CA1sr,63.13805485,61.33174113,56.0369539,58.68434751,61.2661936,59.08331311,56.60899049,64.03686918,60.25957296,55.7526687,60.63874157,63.18255529,55.207959,58.03796552,56.62296226,54.07756557
main_Hippocampus_CA2slm,56.27600941,53.17455886,55.96488053,54.5697197,52.75560635,57.06750265,59.72159782,54.51252941,51.94383114,54.77008226,52.81347379,49.65297932,59.86516627,58.45664804,59.16090716,54.19214255
main_Hippocampus_CA2so,52.47946009,51.11437963,50.98175458,51.04806711,52.26736341,55.63236585,50.21877109,49.83139937,51.09828415,50.62793459,46.75084107,50.79345049,53.29960704,51.5837885,52.44169777,52.06797692
main_Hippocampus_CA2sp,41.75376358,39.26079592,34.98278788,37.1217919,42.97643955,29.74941619,30.56702083,34.982,29.34759931,26.30817647,31.55496465,30.03185476,28.63316667,28.93593681,28.78455174,28.44864411
main_Hippocampus_CA2sr,47.6741056,45.15721554,46.82459494,45.99090524,45.83890058,52.28419902,46.42942903,46.77694915,46.78996053,45.37321693,42.93156183,45.4356381,47.06695046,43.43453979,45.25074513,43.94183283
main_Hippocampus_CA3slm,44.66679394,42.71068222,46.84223502,44.77645862,45.04940721,50.48624235,43.99219231,45.32110192,44.6545914,44.29001993,45.99870174,45.85362597,48.8471372,43.04645199,45.94679459,40.87948895
main_Hippocampus_CA3slu,50.42165623,53.46168743,50.61951344,52.04060044,56.15538028,52.0179407,50.57807463,52.10195213,48.84362946,49.40421733,49.68663927,52.39419556,52.26311846,49.75009906,51.00660876,47.03952465
main_Hippocampus_CA3so,43.85555056,44.21094783,42.75144402,43.48119592,45.28469625,46.24083418,43.67312108,44.93987637,42.89745771,43.06545215,42.30120628,43.310125,44.44763933,40.8295102,42.63857477,41.72868421
main_Hippocampus_CA3sp,47.90954217,45.24720455,43.8896701,44.56843732,47.99876828,42.60839286,42.18309146,41.95184615,37.09332813,36.33819626,39.38730682,39.02991579,36.11700847,37.98378658,37.05039753,33.40682143
main_Hippocampus_CA3sr,45.33706006,44.43895179,44.24573352,44.34234266,46.96951771,46.70056391,45.41995197,47.92727326,45.54067593,45.24290567,44.65845344,46.35199725,44.62716519,43.10279487,43.86498003,42.1242974
main_Hippocampus_DGgrInf,43.14285714,38.84223607,41.72133296,40.28178451,42.81579013,38.84855172,39.93354158,40.50623058,35.17835301,37.76342857,36.8033785,34.57321368,38.8326753,38.78673447,38.80970488,35.65247143
main_Hippocampus_DGgrSup,41.16147193,38.9771326,38.13145535,38.55429397,40.64813636,36.58138462,39.66121277,40.9575,35.14722272,35.72734444,35.39054126,32.97491803,38.03829412,37.01040064,37.52434738,34.97240867
main_Hippocampus_DGmoInf,52.76636388,50.21762478,48.29857675,49.25810077,52.45574065,51.56270694,49.84176984,53.32076573,52.6985558,50.7570128,52.15761486,51.56855213,50.72206689,49.82014816,50.27110753,49.33804095
main_Hippocampus_DGmoSup,53.57295755,50.40459197,48.46192443,49.4332582,50.97950181,50.1208546,48.89235435,53.30065659,51.54445987,48.88123007,51.39241762,51.37418155,50.84854385,50.94206202,50.89530294,48.98545961
main_Hippocampus_DGpo,42.2413871,45.99854362,45.99682525,45.99768444,46.8042672,44.88900769,44.75517021,45.85191787,43.41360917,44.90416867,44.84621429,44.01625131,41.14045378,43.98786164,42.56415771,45.21676316
main_Hippocampus_SUB,56.00889449,56.11803921,51.83648134,53.97726028,58.19982803,51.12772485,51.65704816,58.041,56.05546617,52.51559544,55.86279825,57.66011555,45.4647416,50.77969432,48.12221796,48.75413194
main_Hypothalamus_LHA,40.93552,42.53081157,41.76768553,42.14924855,46.0444,42.13677551,41.75574419,43.27003297,38.23001871,41.12964575,39.33594598,43.91781159,39.65760714,48.69085952,44.17423333,38.50461538
main_Hypothalamus_LPO,45.69581167,42.75451696,42.13451471,42.44451584,49.54917105,44.76865867,43.43404509,43.61747222,38.17845652,40.16122222,,41.82742647,37.61836736,46.04613561,41.83225148,38.46146591
main_Hypothalamus_PSTN,,46.93853701,45.2347156,46.08662631,48.14404161,46.81112939,41.434,45.01298039,39.35836913,41.64592135,,,,,,36.22811475
main_Hypothalamus_ZI,49.590825,53.18015097,51.09253947,52.13634522,51.63067143,46.1134359,48.28067872,47.41849389,42.58519294,45.66410829,45.61041905,46.52989291,37.26021875,50.07978908,43.67000391,41.00522917
main_Isocortex_FRP1,73.5896044,64.719175,57.51411988,61.11664744,69.22561267,49.59517028,61.38788955,68.97816924,69.61205177,58.67315905,65.5817628,66.26809194,49.39203061,59.2235768,54.30780371,52.06363763
main_Isocortex_FRP2-3,69.19046486,60.82223012,58.76820227,59.7952162,65.88845152,50.39394348,58.22592191,62.46116413,66.07497391,55.80327206,62.56509027,60.30475513,48.18582705,54.17328947,51.17955826,51.96445485
main_Isocortex_MO1,77.13208516,63.65178364,53.90646667,58.77912515,70.54335731,52.51944262,56.17858333,73.45310983,71.8743871,54.8657984,67.49779978,,52.46435747,62.32986471,57.39711109,52.90150244
main_Isocortex_MO2-3,76.30309036,58.14970794,53.35532312,55.75251553,67.77913506,52.8187134,55.91855329,69.30857557,65.85917135,55.78425459,65.46346479,58.44539327,52.04789285,59.04504778,55.54647031,50.96527549
main_Isocortex_MO5,66.10251667,55.14583578,50.52442857,52.83513218,57.61830612,49.36817726,51.40422983,61.42711517,61.58841322,50.78452269,60.80379806,55.49592748,48.65365543,53.69594713,51.17480128,47.06909968
main_Isocortex_MO6a,56.16308525,50.57529082,47.61002372,49.09265727,51.98052548,47.37479916,47.79012609,52.8225019,55.33142292,46.52875568,54.21080385,51.71264533,45.12463288,48.53818871,46.83141079,43.76765641
main_Isocortex_MO6b,47.5599251,46.82874138,42.80778468,44.81826303,49.44800733,48.41946622,44.51130641,47.73922499,46.84242593,43.99889733,48.47772093,46.31139197,40.37515094,43.28835714,41.83175404,42.67317614
main_Isocortex_ORB1,74.1449338,67.5694359,64.12536116,65.84739853,70.30256164,51.32867828,60.89912859,73.2037236,74.34219545,63.65163415,71.99913295,72.42539355,50.21784574,61.48473452,55.85129013,53.30343059
main_Isocortex_ORB2-3,70.18121264,61.98994108,61.93334744,61.96164426,65.52271103,51.50773617,59.31304316,70.45702455,69.37518206,59.81758968,70.15780992,69.03925714,49.83831239,58.20633582,54.02232411,51.67603704
main_Isocortex_ORB5,59.84704784,55.30340942,54.49017895,54.89679419,56.14469749,47.96851911,51.82611,61.45133266,58.57798795,47.01970861,61.67824323,62.77098283,47.64806636,53.32652969,50.48729802,47.24301103
main_Isocortex_ORB6a,52.34500627,49.75890678,47.97505887,48.86698282,50.95882143,46.34111405,48.44506522,53.59048148,51.19109813,51.31629759,53.92123478,55.28604545,43.83158468,48.41693119,46.12425794,43.42132609
main_Isocortex_ORB6b,46.91726397,46.22679513,42.28745013,44.25712263,49.3022381,45.63200794,43.50599792,47.49019186,46.52468272,43.30934234,48.25939786,48.75017643,41.31578022,45.22129442,43.26853732,44.08932594
main_Isocortex_PTLp1,77.40875711,,,,71.69552593,52.73830896,54.05913874,83.93025116,65.52637866,53.06224752,,62.63088219,49.65756552,52.5484339,51.10299971,54.76652947
main_Isocortex_PTLp2-3,75.8057174,59.30524574,55.19931285,57.25227929,72.31786589,53.26900671,55.49253927,74.5201393,67.1470172,56.58284615,64.54566142,63.95876267,51.51701802,52.28477584,51.90089693,54.38198847
main_Isocortex_PTLp4,65.7348676,55.69439072,55.68524156,55.68981614,64.30572372,52.28873611,50.20044697,64.72182143,70.63216382,55.1894226,64.11507122,62.02290942,51.43723513,51.36847662,51.40285587,51.84694534
main_Isocortex_PTLp5,62.71956054,54.79726061,52.97974679,53.8885037,59.26009114,50.70689602,50.21727095,61.5737204,63.55994293,52.97085767,59.20655293,57.98069485,48.98987559,52.00906557,50.49947058,50.80289273
main_Isocortex_PTLp6a,55.12942244,50.61885105,49.9292515,50.27405127,55.25412729,48.22134106,48.35081449,57.05665133,55.23044614,48.51776923,52.87956679,52.38841503,45.56716667,46.7112081,46.13918738,45.74821537
